service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
119_20240211,0,0,0,0,0,0,0,20240211,20240316
404_5_20240211,0,0,0,0,0,0,0,20240211,20240316
110_3_20240211,0,0,0,0,0,0,0,20240211,20240316
111_7_20240211,0,0,0,0,0,0,0,20240211,20240316
90_2_20240211,0,0,0,0,0,0,0,20240211,20240316
151_3_20240211,0,0,0,0,0,0,0,20240211,20240316
504_3_20240211,0,0,0,0,0,0,0,20240211,20240316
118_6_20240211,0,0,0,0,0,0,0,20240211,20240316
22_20240211,0,0,0,0,0,0,0,20240211,20240316
2_2_20240211,0,0,0,0,0,0,0,20240211,20240316
203_2_20240211,0,0,0,0,0,0,0,20240211,20240316
322_5_20240211,0,0,0,0,0,0,0,20240211,20240316
58_20240211,0,0,0,0,0,0,0,20240211,20240316
72_20240211,0,0,0,0,0,0,0,20240211,20240316
313_20240211,0,0,0,0,0,0,0,20240211,20240316
609_20240211,0,0,0,0,0,0,0,20240211,20240316
112_5_20240211,0,0,0,0,0,0,0,20240211,20240316
121_1_20240211,0,0,0,0,0,0,0,20240211,20240316
75_20240211,0,0,0,0,0,0,0,20240211,20240316
322_8_20240211,0,0,0,0,0,0,0,20240211,20240316
407_5_20240211,0,0,0,0,0,0,0,20240211,20240316
145_1_20240211,0,0,0,0,0,0,0,20240211,20240316
Rail SaSu+Hol_20240211,0,0,0,0,0,0,0,20240211,20240316
109_2_20240211,0,0,0,0,0,0,0,20240211,20240316
421_1_20240211,0,0,0,0,0,0,0,20240211,20240316
4211_5_20240211,0,0,0,0,0,0,0,20240211,20240316
301_1_20240211,0,0,0,0,0,0,0,20240211,20240316
103_4_20240211,0,0,0,0,0,0,0,20240211,20240316
403_5_20240211,0,0,0,0,0,0,0,20240211,20240316
102_5_20240211,0,0,0,0,0,0,0,20240211,20240316
4062_2_20240211,0,0,0,0,0,0,0,20240211,20240316
202_3_20240211,0,0,0,0,0,0,0,20240211,20240316
85_20240211,0,0,0,0,0,0,0,20240211,20240316
436_1_20240211,0,0,0,0,0,0,0,20240211,20240316
42_20240211,0,0,0,0,0,0,0,20240211,20240316
322_1_20240211,0,0,0,0,0,0,0,20240211,20240316
94_1_20240211,0,0,0,0,0,0,0,20240211,20240316
217_2_20240211,0,0,0,0,0,0,0,20240211,20240316
210_2_20240211,0,0,0,0,0,0,0,20240211,20240316
4063_2_20240211,0,0,0,0,0,0,0,20240211,20240316
754_2_20240211,0,0,0,0,0,0,0,20240211,20240316
32_2_20240211,0,0,0,0,0,0,0,20240211,20240316
321_3_20240211,0,0,0,0,0,0,0,20240211,20240316
513_2_20240211,0,0,0,0,0,0,0,20240211,20240316
44_1_20240211,0,0,0,0,0,0,0,20240211,20240316
15_5_20240211,0,0,0,0,0,0,0,20240211,20240316
303_3_20240211,0,0,0,0,0,0,0,20240211,20240316
CCL MTuWThF-XHol_20240211,0,0,0,0,0,0,0,20240211,20240316
1002_4_20240211,0,0,0,0,0,0,0,20240211,20240316
528_1_20240211,0,0,0,0,0,0,0,20240211,20240316
60_20240211,0,0,0,0,0,0,0,20240211,20240316
203_4_20240211,0,0,0,0,0,0,0,20240211,20240316
4038_2_20240211,0,0,0,0,0,0,0,20240211,20240316
605_20240211,0,0,0,0,0,0,0,20240211,20240316
40_1_20240211,0,0,0,0,0,0,0,20240211,20240316
114_6_20240211,0,0,0,0,0,0,0,20240211,20240316
153_3_20240211,0,0,0,0,0,0,0,20240211,20240316
219_3_20240211,0,0,0,0,0,0,0,20240211,20240316
603_4_20240211,0,0,0,0,0,0,0,20240211,20240316
319_20240211,0,0,0,0,0,0,0,20240211,20240316
4085_2_20240211,0,0,0,0,0,0,0,20240211,20240316
98_1_20240211,0,0,0,0,0,0,0,20240211,20240316
115_5_20240211,0,0,0,0,0,0,0,20240211,20240316
4082_2_20240211,0,0,0,0,0,0,0,20240211,20240316
509_3_20240211,0,0,0,0,0,0,0,20240211,20240316
310_1_20240211,0,0,0,0,0,0,0,20240211,20240316
235_1_20240211,0,0,0,0,0,0,0,20240211,20240316
304_7_20240211,0,0,0,0,0,0,0,20240211,20240316
305_5_20240211,0,0,0,0,0,0,0,20240211,20240316
324_1_20240211,0,0,0,0,0,0,0,20240211,20240316
205_4_20240211,0,0,0,0,0,0,0,20240211,20240316
111_3_20240211,0,0,0,0,0,0,0,20240211,20240316
322_6_20240211,0,0,0,0,0,0,0,20240211,20240316
753_2_20240211,0,0,0,0,0,0,0,20240211,20240316
118_3_20240211,0,0,0,0,0,0,0,20240211,20240316
128_1_20240211,0,0,0,0,0,0,0,20240211,20240316
602_4_20240211,0,0,0,0,0,0,0,20240211,20240316
1502_20240211,0,0,0,0,0,0,0,20240211,20240316
434_1_20240211,0,0,0,0,0,0,0,20240211,20240316
202_1_20240211,0,0,0,0,0,0,0,20240211,20240316
22_2_20240211,0,0,0,0,0,0,0,20240211,20240316
136_1_20240211,0,0,0,0,0,0,0,20240211,20240316
10_20240211,0,0,0,0,0,0,0,20240211,20240316
204_2_20240211,0,0,0,0,0,0,0,20240211,20240316
115_7_20240211,0,0,0,0,0,0,0,20240211,20240316
4050_2_20240211,0,0,0,0,0,0,0,20240211,20240316
504_4_20240211,0,0,0,0,0,0,0,20240211,20240316
31_1_20240211,0,0,0,0,0,0,0,20240211,20240316
4040_2_20240211,0,0,0,0,0,0,0,20240211,20240316
4024_2_20240211,0,0,0,0,0,0,0,20240211,20240316
616_20240211,0,0,0,0,0,0,0,20240211,20240316
402_4_20240211,0,0,0,0,0,0,0,20240211,20240316
122_1_20240211,0,0,0,0,0,0,0,20240211,20240316
204_5_20240211,0,0,0,0,0,0,0,20240211,20240316
125_1_20240211,0,0,0,0,0,0,0,20240211,20240316
201_1_20240211,0,0,0,0,0,0,0,20240211,20240316
315_20240211,0,0,0,0,0,0,0,20240211,20240316
4007_2_20240211,0,0,0,0,0,0,0,20240211,20240316
214_5_20240211,0,0,0,0,0,0,0,20240211,20240316
152_3_20240211,0,0,0,0,0,0,0,20240211,20240316
4066_2_20240211,0,0,0,0,0,0,0,20240211,20240316
206_3_20240211,0,0,0,0,0,0,0,20240211,20240316
