service_id,date,exception_type
200_2_20240211,20240212,1
200_2_20240211,20240213,1
200_2_20240211,20240214,1
200_2_20240211,20240215,1
200_2_20240211,20240216,1
200_2_20240211,20240219,1
200_2_20240211,20240220,1
200_2_20240211,20240221,1
200_2_20240211,20240222,1
200_2_20240211,20240223,1
200_2_20240211,20240226,1
200_2_20240211,20240227,1
200_2_20240211,20240228,1
200_2_20240211,20240229,1
200_2_20240211,20240301,1
200_2_20240211,20240304,1
200_2_20240211,20240305,1
200_2_20240211,20240306,1
200_2_20240211,20240307,1
200_2_20240211,20240308,1
200_2_20240211,20240311,1
200_2_20240211,20240312,1
200_2_20240211,20240313,1
200_2_20240211,20240314,1
200_2_20240211,20240315,1
210_6_20240211,20240212,1
210_6_20240211,20240213,1
210_6_20240211,20240214,1
210_6_20240211,20240215,1
210_6_20240211,20240216,1
210_6_20240211,20240219,1
210_6_20240211,20240220,1
210_6_20240211,20240221,1
210_6_20240211,20240222,1
210_6_20240211,20240223,1
210_6_20240211,20240226,1
210_6_20240211,20240227,1
210_6_20240211,20240228,1
210_6_20240211,20240229,1
210_6_20240211,20240301,1
210_6_20240211,20240304,1
210_6_20240211,20240305,1
210_6_20240211,20240306,1
210_6_20240211,20240307,1
210_6_20240211,20240308,1
210_6_20240211,20240311,1
210_6_20240211,20240312,1
210_6_20240211,20240313,1
210_6_20240211,20240314,1
210_6_20240211,20240315,1
111_4_20240211,20240211,1
111_4_20240211,20240218,1
111_4_20240211,20240225,1
111_4_20240211,20240303,1
111_4_20240211,20240310,1
433_1_20240211,20240212,1
433_1_20240211,20240213,1
433_1_20240211,20240214,1
433_1_20240211,20240215,1
433_1_20240211,20240216,1
433_1_20240211,20240219,1
433_1_20240211,20240220,1
433_1_20240211,20240221,1
433_1_20240211,20240222,1
433_1_20240211,20240223,1
433_1_20240211,20240226,1
433_1_20240211,20240227,1
433_1_20240211,20240228,1
433_1_20240211,20240229,1
433_1_20240211,20240301,1
433_1_20240211,20240304,1
433_1_20240211,20240305,1
433_1_20240211,20240306,1
433_1_20240211,20240307,1
433_1_20240211,20240308,1
433_1_20240211,20240311,1
433_1_20240211,20240312,1
433_1_20240211,20240313,1
433_1_20240211,20240314,1
433_1_20240211,20240315,1
113_5_20240211,20240211,1
113_5_20240211,20240218,1
113_5_20240211,20240225,1
113_5_20240211,20240303,1
113_5_20240211,20240310,1
4051_1_20240211,20240212,1
4051_1_20240211,20240213,1
4051_1_20240211,20240214,1
4051_1_20240211,20240215,1
4051_1_20240211,20240216,1
4051_1_20240211,20240219,1
4051_1_20240211,20240220,1
4051_1_20240211,20240221,1
4051_1_20240211,20240222,1
4051_1_20240211,20240223,1
4051_1_20240211,20240226,1
4051_1_20240211,20240227,1
4051_1_20240211,20240228,1
4051_1_20240211,20240229,1
4051_1_20240211,20240301,1
4051_1_20240211,20240304,1
4051_1_20240211,20240305,1
4051_1_20240211,20240306,1
4051_1_20240211,20240307,1
4051_1_20240211,20240308,1
4051_1_20240211,20240311,1
4051_1_20240211,20240312,1
4051_1_20240211,20240313,1
4051_1_20240211,20240314,1
4051_1_20240211,20240315,1
5_2_20240211,20240212,1
5_2_20240211,20240213,1
5_2_20240211,20240214,1
5_2_20240211,20240215,1
5_2_20240211,20240216,1
5_2_20240211,20240219,1
5_2_20240211,20240220,1
5_2_20240211,20240221,1
5_2_20240211,20240222,1
5_2_20240211,20240223,1
5_2_20240211,20240226,1
5_2_20240211,20240227,1
5_2_20240211,20240228,1
5_2_20240211,20240229,1
5_2_20240211,20240301,1
5_2_20240211,20240304,1
5_2_20240211,20240305,1
5_2_20240211,20240306,1
5_2_20240211,20240307,1
5_2_20240211,20240308,1
5_2_20240211,20240311,1
5_2_20240211,20240312,1
5_2_20240211,20240313,1
5_2_20240211,20240314,1
5_2_20240211,20240315,1
4028_2_20240211,20240212,1
4028_2_20240211,20240213,1
4028_2_20240211,20240214,1
4028_2_20240211,20240215,1
4028_2_20240211,20240216,1
4028_2_20240211,20240219,1
4028_2_20240211,20240220,1
4028_2_20240211,20240221,1
4028_2_20240211,20240222,1
4028_2_20240211,20240223,1
4028_2_20240211,20240226,1
4028_2_20240211,20240227,1
4028_2_20240211,20240228,1
4028_2_20240211,20240229,1
4028_2_20240211,20240301,1
4028_2_20240211,20240304,1
4028_2_20240211,20240305,1
4028_2_20240211,20240306,1
4028_2_20240211,20240307,1
4028_2_20240211,20240308,1
4028_2_20240211,20240311,1
4028_2_20240211,20240312,1
4028_2_20240211,20240313,1
4028_2_20240211,20240314,1
4028_2_20240211,20240315,1
2_2_20240211,20240217,1
2_2_20240211,20240224,1
2_2_20240211,20240302,1
2_2_20240211,20240309,1
2_2_20240211,20240316,1
147_1_20240211,20240212,1
147_1_20240211,20240213,1
147_1_20240211,20240214,1
147_1_20240211,20240215,1
147_1_20240211,20240216,1
147_1_20240211,20240219,1
147_1_20240211,20240220,1
147_1_20240211,20240221,1
147_1_20240211,20240222,1
147_1_20240211,20240223,1
147_1_20240211,20240226,1
147_1_20240211,20240227,1
147_1_20240211,20240228,1
147_1_20240211,20240229,1
147_1_20240211,20240301,1
147_1_20240211,20240304,1
147_1_20240211,20240305,1
147_1_20240211,20240306,1
147_1_20240211,20240307,1
147_1_20240211,20240308,1
147_1_20240211,20240311,1
147_1_20240211,20240312,1
147_1_20240211,20240313,1
147_1_20240211,20240314,1
147_1_20240211,20240315,1
615_20240211,20240212,1
615_20240211,20240213,1
615_20240211,20240214,1
615_20240211,20240215,1
615_20240211,20240216,1
615_20240211,20240219,1
615_20240211,20240220,1
615_20240211,20240221,1
615_20240211,20240222,1
615_20240211,20240223,1
615_20240211,20240226,1
615_20240211,20240227,1
615_20240211,20240228,1
615_20240211,20240229,1
615_20240211,20240301,1
615_20240211,20240304,1
615_20240211,20240305,1
615_20240211,20240306,1
615_20240211,20240307,1
615_20240211,20240308,1
615_20240211,20240311,1
615_20240211,20240312,1
615_20240211,20240313,1
615_20240211,20240314,1
615_20240211,20240315,1
4012_2_20240211,20240212,1
4012_2_20240211,20240213,1
4012_2_20240211,20240214,1
4012_2_20240211,20240215,1
4012_2_20240211,20240216,1
4012_2_20240211,20240219,1
4012_2_20240211,20240220,1
4012_2_20240211,20240221,1
4012_2_20240211,20240222,1
4012_2_20240211,20240223,1
4012_2_20240211,20240226,1
4012_2_20240211,20240227,1
4012_2_20240211,20240228,1
4012_2_20240211,20240229,1
4012_2_20240211,20240301,1
4012_2_20240211,20240304,1
4012_2_20240211,20240305,1
4012_2_20240211,20240306,1
4012_2_20240211,20240307,1
4012_2_20240211,20240308,1
4012_2_20240211,20240311,1
4012_2_20240211,20240312,1
4012_2_20240211,20240313,1
4012_2_20240211,20240314,1
4012_2_20240211,20240315,1
1001_1_20240211,20240212,1
1001_1_20240211,20240213,1
1001_1_20240211,20240214,1
1001_1_20240211,20240215,1
1001_1_20240211,20240216,1
1001_1_20240211,20240219,1
1001_1_20240211,20240220,1
1001_1_20240211,20240221,1
1001_1_20240211,20240222,1
1001_1_20240211,20240223,1
1001_1_20240211,20240226,1
1001_1_20240211,20240227,1
1001_1_20240211,20240228,1
1001_1_20240211,20240229,1
1001_1_20240211,20240301,1
1001_1_20240211,20240304,1
1001_1_20240211,20240305,1
1001_1_20240211,20240306,1
1001_1_20240211,20240307,1
1001_1_20240211,20240308,1
1001_1_20240211,20240311,1
1001_1_20240211,20240312,1
1001_1_20240211,20240313,1
1001_1_20240211,20240314,1
1001_1_20240211,20240315,1
4211_5_20240211,20240212,1
4211_5_20240211,20240214,1
4211_5_20240211,20240219,1
4211_5_20240211,20240221,1
4211_5_20240211,20240226,1
4211_5_20240211,20240228,1
4211_5_20240211,20240304,1
4211_5_20240211,20240306,1
4211_5_20240211,20240311,1
4211_5_20240211,20240313,1
119_3_20240211,20240212,1
119_3_20240211,20240213,1
119_3_20240211,20240214,1
119_3_20240211,20240215,1
119_3_20240211,20240216,1
119_3_20240211,20240219,1
119_3_20240211,20240220,1
119_3_20240211,20240221,1
119_3_20240211,20240222,1
119_3_20240211,20240223,1
119_3_20240211,20240226,1
119_3_20240211,20240227,1
119_3_20240211,20240228,1
119_3_20240211,20240229,1
119_3_20240211,20240301,1
119_3_20240211,20240304,1
119_3_20240211,20240305,1
119_3_20240211,20240306,1
119_3_20240211,20240307,1
119_3_20240211,20240308,1
119_3_20240211,20240311,1
119_3_20240211,20240312,1
119_3_20240211,20240313,1
119_3_20240211,20240314,1
119_3_20240211,20240315,1
203_5_20240211,20240217,1
203_5_20240211,20240224,1
203_5_20240211,20240302,1
203_5_20240211,20240309,1
203_5_20240211,20240316,1
304_20240211,20240212,1
304_20240211,20240213,1
304_20240211,20240214,1
304_20240211,20240215,1
304_20240211,20240216,1
304_20240211,20240219,1
304_20240211,20240220,1
304_20240211,20240221,1
304_20240211,20240222,1
304_20240211,20240223,1
304_20240211,20240226,1
