stop_pattern_id,stop_id,stop_sequence,timepoint
849_1_20240211,9134,0,1
849_1_20240211,9138,1,0
849_1_20240211,9137,2,0
849_1_20240211,9875,3,0
849_1_20240211,9876,4,0
849_1_20240211,9139,5,0
849_1_20240211,9141,6,0
849_1_20240211,9121,7,0
849_1_20240211,8103,8,0
849_1_20240211,9135,9,0
849_1_20240211,9136,10,0
849_1_20240211,8152,11,0
849_1_20240211,8161,12,0
849_1_20240211,9197,13,0
849_1_20240211,8159,14,1
849_0_20240211,8159,0,1
849_0_20240211,8158,1,0
849_0_20240211,8156,2,1
849_0_20240211,9164,3,0
849_0_20240211,9165,4,0
849_0_20240211,8136,5,1
849_0_20240211,8135,6,1
849_0_20240211,9101,7,0
849_0_20240211,9102,8,0
849_0_20240211,8122,9,0
849_0_20240211,8120,10,1
849_0_20240211,8118,11,0
849_0_20240211,9134,12,0
849_0_20240211,9138,13,0
849_0_20240211,9137,14,0
849_0_20240211,9875,15,0
849_0_20240211,9876,16,0
849_0_20240211,9139,17,0
849_0_20240211,9141,18,1
33_1_20240211,4369,0,1
33_1_20240211,4368,1,0
33_1_20240211,4367,2,0
33_1_20240211,4366,3,0
33_1_20240211,4365,4,0
33_1_20240211,4364,5,0
33_1_20240211,4363,6,0
33_1_20240211,4362,7,0
33_1_20240211,4361,8,0
33_1_20240211,4360,9,0
33_1_20240211,4329,10,0
33_1_20240211,4328,11,0
33_1_20240211,4327,12,1
33_1_20240211,4326,13,0
33_1_20240211,4325,14,0
33_1_20240211,4324,15,0
33_1_20240211,4323,16,0
33_1_20240211,4322,17,0
33_1_20240211,4321,18,0
33_1_20240211,4320,19,0
33_1_20240211,4319,20,0
33_1_20240211,4317,21,0
33_1_20240211,4316,22,0
33_1_20240211,4315,23,0
33_1_20240211,4314,24,0
33_1_20240211,4313,25,0
33_1_20240211,4312,26,0
33_1_20240211,4311,27,0
33_1_20240211,5519,28,0
33_1_20240211,5520,29,1
887_1_20240211,8858,0,1
887_1_20240211,8857,1,0
887_1_20240211,8856,2,0
887_1_20240211,8855,3,0
887_1_20240211,8854,4,0
887_1_20240211,8853,5,0
887_1_20240211,8852,6,0
887_1_20240211,8851,7,0
887_1_20240211,8850,8,0
887_1_20240211,8849,9,0
887_1_20240211,8848,10,0
887_1_20240211,8847,11,0
887_1_20240211,8846,12,0
887_1_20240211,8845,13,0
887_1_20240211,8844,14,0
887_1_20240211,8843,15,0
887_1_20240211,8842,16,0
887_1_20240211,8841,17,0
887_1_20240211,8840,18,0
887_1_20240211,8839,19,0
887_1_20240211,8838,20,0
887_1_20240211,8737,21,0
887_1_20240211,8735,22,0
887_1_20240211,8734,23,0
887_1_20240211,8733,24,0
887_1_20240211,8732,25,0
887_1_20240211,8731,26,0
887_1_20240211,8730,27,0
887_1_20240211,9153,28,0
887_1_20240211,9155,29,0
