route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
1540,612_1_20240211,154__0__123__TZM__612__1__612__1_20240211,,0,,[@360.0.75331279@]1_20240211,,2,123
2300,305_3_20240211,230__0__711__TZM__305__3__305__3_20240211,,0,,[@368.0.24016921@]230:660#21265#21288_20240211,,2,711
360,96_1_20240211,36__1__112__NBM__96__1__96__1_20240211,,1,,[@360.0.75332042@]1_20240211,,2,112
10,112_7_20240211,1__1__266__TZM__112__7__112__7_20240211,,1,,[@364.0.17528045@]5_20240211,,2,266
360,56_20240211,36__0__107__NBM__56__56_20240211,,0,,[@360.0.75332042@]2_20240211,,2,107
9,CCL Su+Hol-Xmas_20240211,CCL__1__10520__WCCL__CCL_Su+Hol-Xmas_20240211,,1,,[@6.0.98043685@]CCL:857#24726#24728_20240211,,2,10520
7,703_2_20240211,AX__0__633__MNM__703__2__703__2_20240211,,0,,[@366.0.7673003@]1_20240211,,2,633
2360,305_4_20240211,236__1__426__TZM__305__4__305__4_20240211,,1,,[@368.0.24016932@]236:664#21302#21336_20240211,,2,426
240,106_6_20240211,24__0__173__TZM__106__6__106__6_20240211,,0,,[@364.0.17528180@]2_20240211,,2,173
180,6_20240211,18__0__725__NBM__6__6_20240211,,0,,[@368.0.24017486@]2_20240211,,2,725
830,204_8_20240211,83__0__111__NBM__204__8__204__8_20240211,,0,,[@364.0.23226528@]83:382#12651#12715_20240211,,2,111
2300,307_4_20240211,230__1__706__TZM__307__4__307__4_20240211,,1,,[@368.0.24016921@]230:656#21228#21251_20240211,,2,706
3,Rail MTuWThF-XHol_20240211,MEL__1__5625__RAIL__Rail_MTuWThF-XHol_20240211,,1,,[@6.0.20608303@]MEL:826#24532#24535_20240211,,2,5625
290,105_5_20240211,29__0__403__TZM__105__5__105__5_20240211,,0,,[@364.0.17529751@]2_20240211,,2,403
830,42_1_20240211,83__1__434__NBM__42__1__42__1_20240211,,1,,[@364.0.23226528@]83:378#12562#12628_20240211,,2,434
1300,402_4_20240211,130__1__404__TZM__402__4__402__4_20240211,,1,,[@364.0.17527495@]1_20240211,,2,404
270,219_2_20240211,27__0__421__TZM__219__2__219__2_20240211,,0,,[@360.0.75333692@]2_20240211,,2,421
2610,4001_2_20240211,261__1__148__UZM__4001__2__4001__2_20240211,,1,,[@366.0.28965564@]2_20240211,,2,148
270,147_1_20240211,27__1__118__TZM__147__1__147__1_20240211,,1,,[@360.0.75333692@]1_20240211,,2,118
20,102_3_20240211,2__1__318__NBM__102__3__102__3_20240211,,1,,[@368.0.24017007@]2_20240211,,2,318
830,204_5_20240211,83__1__418__NBM__204__5__204__5_20240211,,1,,[@364.0.23226528@]83:378#12562#12628_20240211,,2,418
2200,307_4_20240211,220__1__728__TZM__307__4__307__4_20240211,,1,,[@356.0.45924825@]2_20240211,,2,728
180,116_1_20240211,18__0__107__NBM__116__1__116__1_20240211,,0,,[@368.0.24017486@]2_20240211,,2,107
1100,501_4_20240211,110__0__465__TZM__501__4__501__4_20240211,,0,,[@356.0.42935074@]3_20240211,,2,465
10,234_1_20240211,1__0__243__TZM__234__1__234__1_20240211,,0,,[@364.0.17528045@]10_20240211,,2,243
2,Rail MTuWThF-XHol_20240211,KPL__0__6350__RAIL__Rail_MTuWThF-XHol_20240211,,0,,[@6.0.20608271@]KPL:820#24487#24499_20240211,,2,6350
70,117_7_20240211,7__1__158__TZM__117__7__117__7_20240211,,1,,[@364.0.17528115@]1_20240211,,2,158
2200,311_4_20240211,220__0__159__TZM__311__4__311__4_20240211,,0,,[@356.0.45924825@]1_20240211,,2,159
7360,118_1_20240211,736__1__100__NBM__118__1__118__1_20240211,,1,,[@360.0.6959890@]736:1080#27781#27806_20240211,,2,100
20,60_20240211,2__1__346__NBM__60__60_20240211,,1,,[@368.0.24017007@]2_20240211,,2,346
170,105_6_20240211,17__0__113__TZM__105__6__105__6_20240211,,0,,[@364.0.17529728@]4_20240211,,2,113
2610,711_2_20240211,261__0__419__UZM__711__2__711__2_20240211,,0,,[@366.0.28965564@]1_20240211,,2,419
390,150_3_20240211,39__0__191__TZM__150__3__150__3_20240211,,0,,[@360.0.76578843@]2_20240211,,2,191
9,CCL Su+Hol-Xmas_20240211,CCL__1__10460__WCCL__CCL_Su+Hol-Xmas_20240211,,1,,[@6.0.98043685@]CCL:857#24726#24728_20240211,,2,10460
810,42_2_20240211,81__0__121__NBM__42__2__42__2_20240211,,0,,[@368.0.24016579@]81:375#12458#12505_20240211,,2,121
2040,801_1_20240211,204__1__106__TZM__801__1__801__1_20240211,WRC=Buses replace the connecting train service to Wellington. If travelling to Wellington# transfer at the last stop# Stop 1920 Main Street at Papawai Road# to the bus replacing train,1,,[@6.0.22551316@]204:599#19378#19389_20240211,,2,106
2500,4038_2_20240211,250__0__151__UZM__4038__2__4038__2_20240211,,0,,[@366.0.28965531@]2_20240211,,2,151
210,205_5_20240211,21__0__429__NBM__205__5__205__5_20240211,,0,,[@364.0.23227109@]2_20240211,,2,429
20,40_20240211,2__1__816__NBM__40__40_20240211,,1,,[@368.0.24017007@]2_20240211,,2,816
190,213_4_20240211,19__0__425__TZM__213__4__213__4_20240211,,0,,[@364.0.17528164@]1_20240211,,2,425
40,49_1_20240211,4__0__443__NBM__49__1__49__1_20240211,,0,,[@368.0.26624687@]1_20240211,,2,443
1300,401_3_20240211,130__0__713__TZM__401__3__401__3_20240211,,0,,[@364.0.17527495@]3_20240211,,2,713
10,122_20240211,1__0__171__TZM__122__122_20240211,,0,,[@364.0.17528045@]7_20240211,,2,171
4650,320_1_20240211,465__1__100__TZM__320__1__320__1_20240211,S=School Bus - Operates during school term only,1,,[@6.0.22570666@]2_20240211,,2,100
7,707_1_20240211,AX__0__627__MNM__707__1__707__1_20240211,,0,,[@366.0.7673003@]1_20240211,,2,627
1600,603_4_20240211,160__0__433__TZM__603__4__603__4_20240211,,0,,[@356.0.42935312@]5_20240211,,2,433
20,101_3_20240211,2__1__264__NBM__101__3__101__3_20240211,,1,,[@368.0.24017007@]10_20240211,,2,264
7,602_20240211,AX__1__108__MNM__602__602_20240211,,1,,[@366.0.7673003@]2_20240211,,2,108
20,33_20240211,2__0__791__NBM__33__33_20240211,,0,,[@368.0.24017007@]5_20240211,,2,791
9,CCL MTuWThF-XHol_20240211,CCL__0__10385__WCCL__CCL_MTuWThF-XHol_20240211,,0,,[@6.0.98043685@]CCL:859#24732#24734_20240211,,2,10385
2900,4058_2_20240211,290__0__125__UZM__4058__2__4058__2_20240211,,0,,[@364.0.36724235@]1_20240211,,2,125
250,107_5_20240211,25__0__101__TZM__107__5__107__5_20240211,,0,,[@6.0.22281071@]1_20240211,,2,101
